standard,level,industry,ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4
bics,bics_l1,Consumer Discretionary,RIC,46.0,49.0,35.0,89.0,35.0,42.0,48.0,48.0,42.0,27.0,38.0,36.0
bics,bics_l1,Consumer Discretionary,SAV,35.0,46.0,40.0,43.0,46.0,76.0,49.0,80.0,75.0,78.0,75.0,64.0
bics,bics_l1,Consumer Discretionary,SBV,95.0,92.0,78.0,58.0,46.0,38.0,48.0,95.0,45.0,46.0,38.0,67.0
bics,bics_l1,Consumer Discretionary,SDH,5.0,7.0,,,,,,,,,,
bics,bics_l1,Consumer Discretionary,SHI,36.0,40.0,33.0,41.0,29.0,36.0,40.0,37.0,37.0,39.0,37.0,34.0
bics,bics_l1,Consumer Discretionary,SHN,78.0,46.0,40.0,39.0,41.0,44.0,43.0,60.0,36.0,78.0,44.0,29.0
bics,bics_l1,Consumer Discretionary,SMC,48.0,72.0,67.0,50.0,49.0,77.0,75.0,75.0,64.0,68.0,64.0,72.0
bics,bics_l1,Consumer Discretionary,SRC,34.0,41.0,39.0,40.0,40.0,80.0,55.0,87.0,71.0,85.0,58.0,51.0
bics,bics_l1,Consumer Discretionary,ST8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,100.0,,84.0,91.0
bics,bics_l1,Consumer Discretionary,STH,,,,,,,,,,,48.0,36.0
bics,bics_l1,Consumer Discretionary,STK,44.0,68.0,43.0,58.0,77.0,81.0,78.0,82.0,96.0,43.0,48.0,89.0
bics,bics_l1,Consumer Discretionary,SVC,83.0,76.0,70.0,77.0,82.0,77.0,67.0,77.0,62.0,64.0,67.0,80.0
bics,bics_l1,Consumer Discretionary,T12,46.0,81.0,91.0,81.0,76.0,95.0,,,,,,
bics,bics_l1,Consumer Discretionary,TAG,84.0,,,,,,,,,,,
bics,bics_l1,Consumer Discretionary,TCM,47.0,53.0,59.0,47.0,48.0,58.0,75.0,65.0,61.0,76.0,72.0,59.0
bics,bics_l1,Consumer Discretionary,TCT,,,,,,,,,100.0,,,
bics,bics_l1,Consumer Discretionary,TDF,,,,,59.0,47.0,70.0,50.0,44.0,51.0,46.0,42.0
bics,bics_l1,Consumer Discretionary,TDH,42.0,44.0,29.0,42.0,35.0,46.0,34.0,38.0,30.0,25.0,21.0,34.0
bics,bics_l1,Consumer Discretionary,TDT,34.0,46.0,96.0,43.0,52.0,42.0,88.0,45.0,38.0,28.0,47.0,29.0
bics,bics_l1,Consumer Discretionary,TH1,31.0,32.0,28.0,29.0,21.0,26.0,29.0,31.0,38.0,33.0,39.0,30.0
bics,bics_l1,Consumer Discretionary,TIE,,,,24.0,25.0,44.0,,,,,,
bics,bics_l1,Consumer Discretionary,TLG,100.0,97.0,100.0,85.0,98.0,100.0,100.0,100.0,70.0,99.0,100.0,100.0
bics,bics_l1,Consumer Discretionary,TNA,97.0,66.0,52.0,48.0,80.0,76.0,92.0,78.0,51.0,58.0,57.0,52.0
bics,bics_l1,Consumer Discretionary,TNG,28.0,39.0,39.0,49.0,40.0,39.0,77.0,58.0,43.0,32.0,48.0,30.0
bics,bics_l1,Consumer Discretionary,TOP,,88.0,88.0,,,,,,,,,
bics,bics_l1,Consumer Discretionary,TTC,48.0,83.0,86.0,78.0,77.0,96.0,46.0,,,,,
bics,bics_l1,Consumer Discretionary,TTF,22.0,16.0,25.0,39.0,27.0,0.0,21.0,28.0,27.0,38.0,26.0,19.0
bics,bics_l1,Consumer Discretionary,TTH,42.0,83.0,95.0,100.0,84.0,100.0,88.0,90.0,52.0,48.0,51.0,47.0
bics,bics_l1,Consumer Discretionary,TVT,80.0,66.0,48.0,46.0,87.0,46.0,43.0,43.0,77.0,45.0,49.0,46.0
bics,bics_l1,Consumer Discretionary,UDC,20.0,28.0,29.0,31.0,26.0,28.0,26.0,36.0,37.0,18.0,27.0,28.0
bics,bics_l1,Consumer Discretionary,VGG,87.0,74.0,97.0,87.0,86.0,76.0,94.0,75.0,61.0,58.0,49.0,58.0
bics,bics_l1,Consumer Discretionary,VGT,35.0,43.0,36.0,34.0,36.0,38.0,38.0,41.0,44.0,37.0,39.0,36.0
bics,bics_l1,Consumer Discretionary,VHL,84.0,72.0,83.0,89.0,89.0,93.0,84.0,75.0,79.0,86.0,64.0,57.0
